jue. 03/04/2025 17:42:14,51 - 
jue. 03/04/2025 17:44:41,35 - 
jue. 03/04/2025 17:45:06,15 - 
jue. 03/04/2025 17:46:06,67 - 
jue. 03/04/2025 17:46:25,51 - 
jue. 03/04/2025 17:46:33,20 - 
jue. 03/04/2025 17:46:34,82 - 
jue. 03/04/2025 17:50:50,32 - 
jue. 03/04/2025 17:50:54,88 - 
jue. 03/04/2025 17:50:59,39 - 
jue. 03/04/2025 17:51:01,12 - 
jue. 03/04/2025 17:51:02,35 - 
jue. 03/04/2025 17:51:39,92 - 
jue. 03/04/2025 17:51:43,02 - 
jue. 03/04/2025 17:51:45,08 - 
jue. 03/04/2025 17:52:40,85 - 
jue. 03/04/2025 17:52:41,96 - 
jue. 03/04/2025 17:52:51,78 - 
jue. 03/04/2025 17:53:52,85 - 
jue. 03/04/2025 17:53:52,86 - "Checking Python version..."
jue. 03/04/2025 17:53:52,87 - "Checking Python version..."
jue. 03/04/2025 17:53:52,88 - "Checking Python version..."
jue. 03/04/2025 17:53:52,89 - "Checking Python version..."
jue. 03/04/2025 17:53:52,90 - "Checking Python version..."
jue. 03/04/2025 17:53:52,91 - "Checking Python version..."
jue. 03/04/2025 17:53:52,92 - "Checking Python version..."
jue. 03/04/2025 17:53:52,93 - "Checking Python version..."
jue. 03/04/2025 17:53:52,94 - "Checking Python version..."
jue. 03/04/2025 17:53:52,96 - "Checking Python version..."
jue. 03/04/2025 17:53:52,98 - "Checking Python version..."
jue. 03/04/2025 17:53:52,99 - "Checking Python version..."
jue. 03/04/2025 17:53:53,00 - "Checking Python version..."
jue. 03/04/2025 17:53:53,01 - "Checking Python version..."
jue. 03/04/2025 17:53:53,03 - "Checking Python version..."
jue. 03/04/2025 17:53:53,05 - "Checking Python version..."
jue. 03/04/2025 17:53:53,06 - "Checking Python version..."
jue. 03/04/2025 17:53:53,08 - "Checking Python version..."
jue. 03/04/2025 17:53:53,10 - "Checking Python version..."
jue. 03/04/2025 17:53:53,11 - "Checking Python version..."
jue. 03/04/2025 17:53:53,12 - "Checking Python version..."
jue. 03/04/2025 17:53:53,14 - "Checking Python version..."
jue. 03/04/2025 17:53:53,15 - "Checking Python version..."
jue. 03/04/2025 17:53:53,17 - "Checking Python version..."
jue. 03/04/2025 17:53:53,18 - "Checking Python version..."
jue. 03/04/2025 17:53:53,20 - "Checking Python version..."
jue. 03/04/2025 17:53:53,22 - "Checking Python version..."
jue. 03/04/2025 17:53:53,24 - "Checking Python version..."
jue. 03/04/2025 17:53:53,25 - "Checking Python version..."
jue. 03/04/2025 17:53:53,27 - "Checking Python version..."
jue. 03/04/2025 17:53:53,29 - "Checking Python version..."
jue. 03/04/2025 17:53:53,30 - "Checking Python version..."
jue. 03/04/2025 17:53:53,31 - "Checking Python version..."
jue. 03/04/2025 17:53:53,32 - "Checking Python version..."
jue. 03/04/2025 17:53:53,34 - "Checking Python version..."
jue. 03/04/2025 17:53:53,35 - "Checking Python version..."
jue. 03/04/2025 17:53:53,35 - "Checking Python version..."
jue. 03/04/2025 17:53:53,37 - "Checking Python version..."
jue. 03/04/2025 17:53:53,39 - "Checking Python version..."
jue. 03/04/2025 17:53:53,40 - "Checking Python version..."
jue. 03/04/2025 17:53:53,42 - "Checking Python version..."
jue. 03/04/2025 17:53:53,43 - "Checking Python version..."
jue. 03/04/2025 17:53:53,45 - "Checking Python version..."
jue. 03/04/2025 17:53:53,46 - "Checking Python version..."
jue. 03/04/2025 17:53:53,47 - "Checking Python version..."
jue. 03/04/2025 17:53:53,48 - "Checking Python version..."
jue. 03/04/2025 17:53:53,50 - "Checking Python version..."
jue. 03/04/2025 17:53:53,51 - "Checking Python version..."
jue. 03/04/2025 17:53:53,53 - "Checking Python version..."
jue. 03/04/2025 17:53:53,55 - "Checking Python version..."
jue. 03/04/2025 17:53:53,56 - "Checking Python version..."
jue. 03/04/2025 17:53:53,59 - "Checking Python version..."
jue. 03/04/2025 17:53:53,60 - "Checking Python version..."
jue. 03/04/2025 17:53:53,62 - "Checking Python version..."
jue. 03/04/2025 17:53:53,63 - "Checking Python version..."
jue. 03/04/2025 17:53:53,65 - "Checking Python version..."
jue. 03/04/2025 17:53:53,67 - "Checking Python version..."
jue. 03/04/2025 17:53:53,69 - "Checking Python version..."
jue. 03/04/2025 17:53:53,71 - "Checking Python version..."
jue. 03/04/2025 17:53:53,73 - "Checking Python version..."
jue. 03/04/2025 17:53:53,75 - "Checking Python version..."
jue. 03/04/2025 17:53:53,77 - "Checking Python version..."
jue. 03/04/2025 17:53:53,79 - "Checking Python version..."
jue. 03/04/2025 17:53:53,80 - "Checking Python version..."
jue. 03/04/2025 17:53:53,81 - "Checking Python version..."
jue. 03/04/2025 17:53:53,82 - "Checking Python version..."
jue. 03/04/2025 17:53:53,84 - "Checking Python version..."
jue. 03/04/2025 17:53:53,85 - "Checking Python version..."
jue. 03/04/2025 17:53:53,87 - "Checking Python version..."
jue. 03/04/2025 17:53:53,88 - "Checking Python version..."
jue. 03/04/2025 17:53:53,89 - "Checking Python version..."
jue. 03/04/2025 17:53:53,90 - "Checking Python version..."
jue. 03/04/2025 17:53:53,91 - "Checking Python version..."
jue. 03/04/2025 17:53:53,92 - "Checking Python version..."
jue. 03/04/2025 17:53:53,94 - "Checking Python version..."
jue. 03/04/2025 17:53:53,95 - "Checking Python version..."
jue. 03/04/2025 17:53:53,96 - "Checking Python version..."
jue. 03/04/2025 17:53:53,98 - "Checking Python version..."
jue. 03/04/2025 17:53:54,00 - "Checking Python version..."
jue. 03/04/2025 17:53:54,01 - "Checking Python version..."
jue. 03/04/2025 17:53:54,03 - "Checking Python version..."
jue. 03/04/2025 17:53:54,05 - "Checking Python version..."
jue. 03/04/2025 17:53:54,06 - "Checking Python version..."
jue. 03/04/2025 17:53:54,08 - "Checking Python version..."
jue. 03/04/2025 17:53:54,09 - "Checking Python version..."
jue. 03/04/2025 17:53:54,10 - "Checking Python version..."
jue. 03/04/2025 17:53:54,12 - "Checking Python version..."
jue. 03/04/2025 17:53:54,14 - "Checking Python version..."
jue. 03/04/2025 17:53:54,15 - "Checking Python version..."
jue. 03/04/2025 17:53:54,17 - "Checking Python version..."
jue. 03/04/2025 17:53:54,19 - "Checking Python version..."
jue. 03/04/2025 17:53:54,20 - "Checking Python version..."
jue. 03/04/2025 17:53:54,21 - "Checking Python version..."
jue. 03/04/2025 17:53:54,23 - "Checking Python version..."
jue. 03/04/2025 17:53:54,24 - "Checking Python version..."
jue. 03/04/2025 17:53:54,25 - "Checking Python version..."
jue. 03/04/2025 17:53:54,26 - "Checking Python version..."
jue. 03/04/2025 17:53:54,28 - "Checking Python version..."
jue. 03/04/2025 17:53:54,29 - "Checking Python version..."
jue. 03/04/2025 17:53:54,31 - "Checking Python version..."
jue. 03/04/2025 17:53:54,32 - "Checking Python version..."
jue. 03/04/2025 17:53:54,33 - "Checking Python version..."
jue. 03/04/2025 17:53:54,34 - "Checking Python version..."
jue. 03/04/2025 17:53:54,35 - "Checking Python version..."
jue. 03/04/2025 17:53:54,36 - "Checking Python version..."
jue. 03/04/2025 17:53:54,38 - "Checking Python version..."
jue. 03/04/2025 17:53:54,39 - "Checking Python version..."
jue. 03/04/2025 17:53:54,40 - "Checking Python version..."
jue. 03/04/2025 17:53:54,41 - "Checking Python version..."
jue. 03/04/2025 17:53:54,42 - "Checking Python version..."
jue. 03/04/2025 17:53:54,43 - "Checking Python version..."
jue. 03/04/2025 17:53:54,44 - "Checking Python version..."
jue. 03/04/2025 17:53:54,45 - "Checking Python version..."
jue. 03/04/2025 17:53:54,46 - "Checking Python version..."
jue. 03/04/2025 17:53:54,48 - "Checking Python version..."
jue. 03/04/2025 17:53:54,49 - "Checking Python version..."
jue. 03/04/2025 17:53:54,51 - "Checking Python version..."
jue. 03/04/2025 17:53:54,53 - "Checking Python version..."
jue. 03/04/2025 17:53:54,55 - "Checking Python version..."
jue. 03/04/2025 17:53:54,56 - "Checking Python version..."
jue. 03/04/2025 17:53:54,58 - "Checking Python version..."
jue. 03/04/2025 17:53:54,60 - "Checking Python version..."
jue. 03/04/2025 17:53:54,62 - "Checking Python version..."
jue. 03/04/2025 17:53:54,63 - "Checking Python version..."
jue. 03/04/2025 17:53:54,64 - "Checking Python version..."
jue. 03/04/2025 17:53:54,66 - "Checking Python version..."
jue. 03/04/2025 17:53:54,68 - "Checking Python version..."
jue. 03/04/2025 17:53:54,68 - "Checking Python version..."
jue. 03/04/2025 17:53:54,70 - "Checking Python version..."
jue. 03/04/2025 17:53:54,71 - "Checking Python version..."
jue. 03/04/2025 17:53:54,72 - "Checking Python version..."
jue. 03/04/2025 17:53:54,74 - "Checking Python version..."
jue. 03/04/2025 17:53:54,76 - "Checking Python version..."
jue. 03/04/2025 17:53:54,77 - "Checking Python version..."
jue. 03/04/2025 17:53:54,79 - "Checking Python version..."
jue. 03/04/2025 17:53:54,81 - "Checking Python version..."
jue. 03/04/2025 17:53:54,83 - "Checking Python version..."
jue. 03/04/2025 17:53:54,84 - "Checking Python version..."
jue. 03/04/2025 17:53:54,86 - "Checking Python version..."
jue. 03/04/2025 17:53:54,87 - "Checking Python version..."
jue. 03/04/2025 17:53:54,88 - "Checking Python version..."
jue. 03/04/2025 17:53:54,89 - "Checking Python version..."
jue. 03/04/2025 17:53:54,91 - "Checking Python version..."
jue. 03/04/2025 17:53:54,92 - "Checking Python version..."
jue. 03/04/2025 17:53:54,93 - "Checking Python version..."
jue. 03/04/2025 17:53:54,95 - "Checking Python version..."
jue. 03/04/2025 17:53:54,97 - "Checking Python version..."
jue. 03/04/2025 17:53:54,97 - "Checking Python version..."
jue. 03/04/2025 17:53:54,99 - "Checking Python version..."
jue. 03/04/2025 17:53:55,01 - "Checking Python version..."
jue. 03/04/2025 17:53:55,02 - "Checking Python version..."
jue. 03/04/2025 17:53:55,04 - "Checking Python version..."
jue. 03/04/2025 17:53:55,06 - "Checking Python version..."
jue. 03/04/2025 17:53:55,07 - "Checking Python version..."
jue. 03/04/2025 17:53:55,09 - "Checking Python version..."
jue. 03/04/2025 17:53:55,11 - "Checking Python version..."
jue. 03/04/2025 17:53:55,12 - "Checking Python version..."
jue. 03/04/2025 17:53:55,14 - "Checking Python version..."
jue. 03/04/2025 17:53:55,16 - "Checking Python version..."
jue. 03/04/2025 17:53:55,17 - "Checking Python version..."
jue. 03/04/2025 17:53:55,19 - "Checking Python version..."
jue. 03/04/2025 17:53:55,21 - "Checking Python version..."
jue. 03/04/2025 17:53:55,22 - "Checking Python version..."
jue. 03/04/2025 17:53:55,23 - "Checking Python version..."
jue. 03/04/2025 17:53:55,24 - "Checking Python version..."
jue. 03/04/2025 17:53:55,26 - "Checking Python version..."
jue. 03/04/2025 17:53:55,28 - "Checking Python version..."
jue. 03/04/2025 17:53:55,29 - "Checking Python version..."
jue. 03/04/2025 17:53:55,31 - "Checking Python version..."
jue. 03/04/2025 17:53:55,32 - "Checking Python version..."
jue. 03/04/2025 17:53:55,33 - "Checking Python version..."
jue. 03/04/2025 17:53:55,34 - "Checking Python version..."
jue. 03/04/2025 17:53:55,36 - "Checking Python version..."
jue. 03/04/2025 17:53:55,38 - "Checking Python version..."
jue. 03/04/2025 17:53:55,38 - "Checking Python version..."
jue. 03/04/2025 17:53:55,40 - "Checking Python version..."
jue. 03/04/2025 17:53:55,42 - "Checking Python version..."
jue. 03/04/2025 17:53:55,43 - "Checking Python version..."
jue. 03/04/2025 17:53:55,45 - "Checking Python version..."
jue. 03/04/2025 17:53:55,46 - "Checking Python version..."
jue. 03/04/2025 17:53:55,47 - "Checking Python version..."
jue. 03/04/2025 17:53:55,48 - "Checking Python version..."
jue. 03/04/2025 17:53:55,50 - "Checking Python version..."
jue. 03/04/2025 17:53:55,51 - "Checking Python version..."
jue. 03/04/2025 17:53:55,53 - "Checking Python version..."
jue. 03/04/2025 17:53:55,54 - "Checking Python version..."
jue. 03/04/2025 17:53:55,55 - "Checking Python version..."
jue. 03/04/2025 17:53:55,57 - "Checking Python version..."
jue. 03/04/2025 17:53:55,59 - "Checking Python version..."
jue. 03/04/2025 17:53:55,60 - "Checking Python version..."
jue. 03/04/2025 17:53:55,62 - "Checking Python version..."
jue. 03/04/2025 17:53:55,63 - "Checking Python version..."
jue. 03/04/2025 17:53:55,65 - "Checking Python version..."
jue. 03/04/2025 17:53:55,66 - "Checking Python version..."
jue. 03/04/2025 17:53:55,68 - "Checking Python version..."
jue. 03/04/2025 17:53:55,70 - "Checking Python version..."
jue. 03/04/2025 17:53:55,71 - "Checking Python version..."
jue. 03/04/2025 17:53:55,73 - "Checking Python version..."
jue. 03/04/2025 17:53:55,74 - "Checking Python version..."
jue. 03/04/2025 17:53:55,75 - "Checking Python version..."
jue. 03/04/2025 17:53:55,77 - "Checking Python version..."
jue. 03/04/2025 17:53:55,79 - "Checking Python version..."
jue. 03/04/2025 17:53:55,82 - "Checking Python version..."
jue. 03/04/2025 17:53:55,83 - "Checking Python version..."
jue. 03/04/2025 17:53:55,84 - "Checking Python version..."
jue. 03/04/2025 17:53:55,85 - "Checking Python version..."
jue. 03/04/2025 17:53:55,86 - "Checking Python version..."
jue. 03/04/2025 17:53:55,87 - "Checking Python version..."
jue. 03/04/2025 17:53:55,88 - "Checking Python version..."
jue. 03/04/2025 17:53:55,89 - "Checking Python version..."
jue. 03/04/2025 17:53:55,91 - "Checking Python version..."
jue. 03/04/2025 17:53:55,93 - "Checking Python version..."
jue. 03/04/2025 17:53:55,94 - "Checking Python version..."
jue. 03/04/2025 17:53:55,96 - "Checking Python version..."
jue. 03/04/2025 17:53:55,98 - "Checking Python version..."
jue. 03/04/2025 17:53:55,99 - "Checking Python version..."
jue. 03/04/2025 17:53:56,01 - "Checking Python version..."
jue. 03/04/2025 17:53:56,03 - "Checking Python version..."
jue. 03/04/2025 17:53:56,05 - "Checking Python version..."
jue. 03/04/2025 17:53:56,06 - "Checking Python version..."
jue. 03/04/2025 17:53:56,08 - "Checking Python version..."
jue. 03/04/2025 17:53:56,09 - "Checking Python version..."
jue. 03/04/2025 17:53:56,11 - "Checking Python version..."
jue. 03/04/2025 17:53:56,12 - "Checking Python version..."
jue. 03/04/2025 17:53:56,14 - "Checking Python version..."
jue. 03/04/2025 17:53:56,16 - "Checking Python version..."
jue. 03/04/2025 17:53:56,17 - "Checking Python version..."
jue. 03/04/2025 17:53:56,19 - "Checking Python version..."
jue. 03/04/2025 17:53:56,20 - "Checking Python version..."
jue. 03/04/2025 17:53:56,22 - "Checking Python version..."
jue. 03/04/2025 17:53:56,24 - "Checking Python version..."
jue. 03/04/2025 17:53:56,25 - "Checking Python version..."
jue. 03/04/2025 17:53:56,27 - "Checking Python version..."
jue. 03/04/2025 17:53:56,28 - "Checking Python version..."
jue. 03/04/2025 17:53:56,31 - "Checking Python version..."
jue. 03/04/2025 17:53:56,32 - "Checking Python version..."
jue. 03/04/2025 17:53:56,33 - "Checking Python version..."
jue. 03/04/2025 17:53:56,35 - "Checking Python version..."
jue. 03/04/2025 17:53:56,37 - "Checking Python version..."
jue. 03/04/2025 17:53:56,39 - "Checking Python version..."
jue. 03/04/2025 17:53:56,40 - "Checking Python version..."
jue. 03/04/2025 17:53:56,42 - "Checking Python version..."
jue. 03/04/2025 17:53:56,44 - "Checking Python version..."
jue. 03/04/2025 17:53:56,45 - "Checking Python version..."
jue. 03/04/2025 17:53:56,47 - "Checking Python version..."
jue. 03/04/2025 17:53:56,48 - "Checking Python version..."
jue. 03/04/2025 17:53:56,49 - "Checking Python version..."
jue. 03/04/2025 17:53:56,50 - "Checking Python version..."
jue. 03/04/2025 17:53:56,52 - "Checking Python version..."
jue. 03/04/2025 17:53:56,53 - "Checking Python version..."
jue. 03/04/2025 17:53:56,55 - "Checking Python version..."
jue. 03/04/2025 17:53:56,57 - "Checking Python version..."
jue. 03/04/2025 17:53:56,58 - "Checking Python version..."
jue. 03/04/2025 17:53:56,60 - "Checking Python version..."
jue. 03/04/2025 17:53:56,62 - "Checking Python version..."
jue. 03/04/2025 17:53:56,63 - "Checking Python version..."
jue. 03/04/2025 17:53:56,64 - "Checking Python version..."
jue. 03/04/2025 17:53:56,65 - "Checking Python version..."
jue. 03/04/2025 17:53:56,66 - "Checking Python version..."
jue. 03/04/2025 17:53:56,67 - "Checking Python version..."
jue. 03/04/2025 17:53:56,68 - "Checking Python version..."
jue. 03/04/2025 17:53:56,70 - "Checking Python version..."
jue. 03/04/2025 17:53:56,72 - "Checking Python version..."
jue. 03/04/2025 17:53:56,73 - "Checking Python version..."
jue. 03/04/2025 17:53:56,74 - "Checking Python version..."
jue. 03/04/2025 17:53:56,75 - "Checking Python version..."
jue. 03/04/2025 17:53:56,76 - "Checking Python version..."
jue. 03/04/2025 17:53:56,77 - "Checking Python version..."
jue. 03/04/2025 17:53:56,78 - "Checking Python version..."
jue. 03/04/2025 17:53:56,80 - "Checking Python version..."
jue. 03/04/2025 17:53:56,81 - "Checking Python version..."
jue. 03/04/2025 17:53:56,83 - "Checking Python version..."
jue. 03/04/2025 17:53:56,85 - "Checking Python version..."
jue. 03/04/2025 17:53:56,87 - "Checking Python version..."
jue. 03/04/2025 17:53:56,88 - "Checking Python version..."
jue. 03/04/2025 17:53:56,90 - "Checking Python version..."
jue. 03/04/2025 17:53:56,91 - "Checking Python version..."
jue. 03/04/2025 17:53:56,92 - "Checking Python version..."
jue. 03/04/2025 17:53:56,93 - "Checking Python version..."
jue. 03/04/2025 17:53:56,95 - "Checking Python version..."
jue. 03/04/2025 17:53:56,96 - "Checking Python version..."
jue. 03/04/2025 17:53:56,98 - "Checking Python version..."
jue. 03/04/2025 17:53:56,99 - "Checking Python version..."
jue. 03/04/2025 17:53:57,01 - "Checking Python version..."
jue. 03/04/2025 17:53:57,03 - "Checking Python version..."
jue. 03/04/2025 17:53:57,04 - "Checking Python version..."
jue. 03/04/2025 17:53:57,06 - "Checking Python version..."
jue. 03/04/2025 17:53:57,08 - "Checking Python version..."
jue. 03/04/2025 17:53:57,09 - "Checking Python version..."
jue. 03/04/2025 17:53:57,11 - "Checking Python version..."
jue. 03/04/2025 17:53:57,13 - "Checking Python version..."
jue. 03/04/2025 17:53:57,14 - "Checking Python version..."
jue. 03/04/2025 17:53:57,16 - "Checking Python version..."
jue. 03/04/2025 17:53:57,18 - "Checking Python version..."
jue. 03/04/2025 17:53:57,20 - "Checking Python version..."
jue. 03/04/2025 17:53:57,22 - "Checking Python version..."
jue. 03/04/2025 17:53:57,23 - "Checking Python version..."
jue. 03/04/2025 17:53:57,25 - "Checking Python version..."
jue. 03/04/2025 17:53:57,26 - "Checking Python version..."
jue. 03/04/2025 17:53:57,28 - "Checking Python version..."
jue. 03/04/2025 17:53:57,29 - "Checking Python version..."
jue. 03/04/2025 17:53:57,31 - "Checking Python version..."
jue. 03/04/2025 17:53:57,33 - "Checking Python version..."
jue. 03/04/2025 17:53:57,34 - "Checking Python version..."
jue. 03/04/2025 17:53:57,35 - "Checking Python version..."
jue. 03/04/2025 17:53:57,37 - "Checking Python version..."
jue. 03/04/2025 17:53:57,38 - "Checking Python version..."
jue. 03/04/2025 17:53:57,40 - "Checking Python version..."
jue. 03/04/2025 17:53:57,41 - "Checking Python version..."
jue. 03/04/2025 17:53:57,42 - "Checking Python version..."
jue. 03/04/2025 17:53:57,44 - "Checking Python version..."
jue. 03/04/2025 17:53:57,45 - "Checking Python version..."
jue. 03/04/2025 17:53:57,47 - "Checking Python version..."
jue. 03/04/2025 17:53:57,49 - "Checking Python version..."
jue. 03/04/2025 17:53:57,51 - "Checking Python version..."
jue. 03/04/2025 17:53:57,52 - "Checking Python version..."
jue. 03/04/2025 17:53:57,54 - "Checking Python version..."
jue. 03/04/2025 17:53:57,56 - "Checking Python version..."
jue. 03/04/2025 17:53:57,57 - "Checking Python version..."
jue. 03/04/2025 17:53:57,59 - "Checking Python version..."
jue. 03/04/2025 17:53:57,61 - "Checking Python version..."
jue. 03/04/2025 17:53:57,62 - "Checking Python version..."
jue. 03/04/2025 17:53:57,64 - "Checking Python version..."
jue. 03/04/2025 17:53:57,65 - "Checking Python version..."
jue. 03/04/2025 17:53:57,67 - "Checking Python version..."
jue. 03/04/2025 17:53:57,68 - "Checking Python version..."
